ncescode,name,type,levelcode,rating,frpl,enrollment,white,black,hispanic,asian,multiracial,native_american,street,city,state,zip,county,fipscounty,lat,lon,districtid,districtname
61495001636,Gateway Educational Options,public,"e,m,h",3,.54500002,56,.74242401,.0606061,.090909101,,.030303,.0757576,3500 Tamarack Drive,Redding,CA,,Shasta,6089,40.687763,-122.38714,729,Gateway Unified
61495001667,Central Valley High School,public,h,4,.64099997,831,.71973699,.0197368,.126316,.03552635,.021052601,.0776316,4066 La Mesa Avenue,Shasta Lake,CA,,Shasta,6089,40.677879,-122.37368,729,Gateway Unified
61495001682,Buckeye School Of The Arts,public,"p,e,m",4,.84100002,,.650662,.051324502,.150662,.052980121,,.094370902,3407 Hiatt Drive,Redding,CA,,Shasta,6089,40.630028,-122.40313,729,Gateway Unified
61495002880,Grand Oaks Elementary School,public,e,5,.83399999,363,.74007201,.0036101099,.097472899,.02527071,.050541501,.083032504,5309 Grand Avenue,Shasta Lake,CA,,Shasta,6089,40.68251,-122.3528,729,Gateway Unified
61495008638,Gateway Community Day School,public,m,,.92299998,12,.84615397,,,,.076923102,.076923102,17752 Shasta Dam Boulevard,Shasta Lake,CA,,Shasta,6089,40.687763,-122.38714,729,Gateway Unified
61495010422,North Woods Discovery,charter,"e,m",5,.59600002,214,.74863398,.0054644798,.098360702,,.12568299,.021857901,14732 Bass Drive,Redding,CA,,Shasta,6089,40.715363,-122.33336,729,Gateway Unified
61495011804,Shasta Lake,public,"e,m",5,.78799999,782,.707977,.011396,.149573,.02421651,.0512821,.055555601,4620 Vallecito Street,Shasta Lake,CA,,Shasta,6089,40.674747,-122.36212,729,Gateway Unified
61495011927,Rocky Point Charter School,charter,"e,m",5,.61000001,153,.63101602,.0106952,.139037,.0106952,.160428,.021390401,3500 Tamarack Drive,Redding,CA,,Shasta,6089,40.617367,-122.3998,729,Gateway Unified
61495012116,Great Partnership Special Education Consortium School,public,"e,m",,.51499999,66,.72727299,.0757576,.106061,.045454498,,.045454498,3450 Tamarack Drive,Redding,CA,,Shasta,6089,40.63102,-122.38785,729,Gateway Unified
61495012118,Redding School Of The Arts Ii,charter,"e,m",6,.28400001,525,.77431202,.012844,.066055,.05137616,.067889899,.027522899,955 Inspiration Place,Redding,CA,,Shasta,6089,40.585655,-122.41465,729,Gateway Unified
61495012533,Academy Of Personalized Learning,charter,"e,m,h",5,.676,404,.83682001,.0146444,.0983264,.0125523,,.0376569,2195 Larkspur Lane Suite 100,Redding,CA,,Shasta,6089,40.567387,-122.36912,729,Gateway Unified
61497001902,Gazelle Elementary School,public,"e,m",,.80000001,40,.69999999,.1,.0666667,,.033333302,.1,25305 Gazelle-Callahan Road,Gazelle,CA,,Siskiyou,6093,41.519718,-122.5237,858,Gazelle Union Elementary
61500001903,General Shafter Elementary School,public,"e,m",5,.17399999,135,.14492799,,.84057999,.0144928,,,1825 Shafter Road,Bakersfield,CA,,Kern,6029,35.221298,-119.02421,214,General Shafter Elementary
61509001904,Gerber Elementary School,public,"e,m",3,.85100001,382,.29563001,.0077120801,.645244,.0051413798,.0077120801,.0282776,23014 Chard Avenue,Gerber,CA,,Tehama,6103,40.069103,-122.1892,925,Gerber Union Elementary
61509008414,Gerber Community Day School,public,"e,m",,1,5,.60000002,,.40000001,,,,23014 Chard Avenue,Gerber,CA,,Tehama,6103,40.069103,-122.1892,925,Gerber Union Elementary
61515001906,Geyserville Educational Park High School,public,h,6,.64899999,70,.415584,,.53246802,.025974,.025974,,1300 Moody Lane,Geyserville,CA,,Sonoma,6097,38.722004,-122.89127,813,Geyserville Unified
61515001907,Geyserville Elementary School,public,e,3,.71799999,124,.31451601,.0080645196,.64516097,.0080645196,.024193499,,21485 Geyserville Avenue,Geyserville,CA,,Sonoma,6097,38.705872,-122.90298,813,Geyserville Unified
61515007726,Buena Vista High School,public,h,,.40000001,3,,,1,,,,1300 Moody Lane,Geyserville,CA,,Sonoma,6097,38.722004,-122.89127,813,Geyserville Unified
61515008143,Geyserville Middle School,public,m,7,.55199999,59,.396552,,.55172402,.0172414,.034482799,,1300 Moody Lane,Geyserville,CA,,Sonoma,6097,38.722004,-122.89127,813,Geyserville Unified
61518001908,Luigi Aprea Elementary School,public,e,8,.18099999,699,.38646001,.022567,.44146699,.098730639,.031029601,.00846262,9225 Calle Del Rey,Gilroy,CA,,Santa Clara,6085,37.025387,-121.60343,636,Gilroy Unified
61518001909,El Roble Elementary School,public,e,5,.60900003,562,.18910301,.0192308,.73076898,.03525636,.0128205,.0032051301,930 Third Street,Gilroy,CA,,Santa Clara,6085,37.008102,-121.58552,636,Gilroy Unified
61518001910,Eliot Elementary School,public,e,3,.81900001,554,.030769199,,.94807702,.01153846,.00192308,.00769231,475 Old Gilroy Street,Gilroy,CA,,Santa Clara,6085,37.005959,-121.5617,636,Gilroy Unified
61518001911,Gilroy High School,public,h,5,.56699997,1475,.161898,.0146546,.77250499,.030704809,.0097697098,.00418702,750 West Tenth Street,Gilroy,CA,,Santa Clara,6085,36.997231,-121.576,636,Gilroy Unified
61518001912,Glen View Elementary School,public,e,4,.80400002,623,.0585443,.0047468399,.88291103,.020569591,.0174051,.0047468399,600 Eighth Street,Gilroy,CA,,Santa Clara,6085,37.005489,-121.55947,636,Gilroy Unified
61518001914,Las Animas Elementary School,public,e,8,.435,757,.197514,.0055248602,.67679602,.074585602,.0248619,.0041436502,6550 Cimino Street,Gilroy,CA,,Santa Clara,6085,36.989834,-121.58152,636,Gilroy Unified
61518001915,Mt. Madonna High School,public,h,3,.51499999,288,.090909101,.0075757601,.89015198,.0037878801,.0037878801,.0037878801,8750 Hirasaki Court,Gilroy,CA,,Santa Clara,6085,37.021381,-121.59538,636,Gilroy Unified
61518001916,Rucker Elementary School,public,e,5,.56900001,499,.215385,.0153846,.67307699,.05769233,.0269231,.00769231,325 Santa Clara Avenue,Gilroy,CA,,Santa Clara,6085,37.05418,-121.58601,636,Gilroy Unified
61518001918,South Valley Middle School,public,m,5,.69099998,688,.088607602,.0101266,.86835402,.01772153,.0088607604,.00253165,385 Ioof Avenue,Gilroy,CA,,Santa Clara,6085,37.015167,-121.56719,636,Gilroy Unified
61518004070,Brownell Middle School,public,m,6,.442,784,.228421,.0157895,.62947398,.074736834,.034736801,.0094736796,7800 Carmel Street,Gilroy,CA,,Santa Clara,6085,37.011398,-121.57757,636,Gilroy Unified
61518008355,Antonio Del Buono Elementary School,public,e,4,.71799999,627,.0903427,.0077881599,.83021802,.046728961,.017134,.0046728998,9300 Wren Avenue,Gilroy,CA,,Santa Clara,6085,37.029808,-121.58749,636,Gilroy Unified
61518009140,Rod Kelley Elementary School,public,e,7,.56300002,759,.0962025,.0075949398,.84936702,.025316499,.0139241,.00253165,8755 Kern Avenue,Gilroy,CA,,Santa Clara,6085,37.021187,-121.59158,636,Gilroy Unified
61518011203,Solorsano Middle School,public,m,7,.52399999,1077,.195576,.018626301,.67869598,.068684578,.0232829,.0046565798,7121 Grenache Way,Gilroy,CA,,Santa Clara,6085,37.000748,-121.59302,636,Gilroy Unified
61518012174,Dr. T. J. Owens Gilroy Early College Academy,public,h,10,.32600001,248,.334746,.00423729,.41949201,.2203389,.016949199,.00423729,"5055 Santa Teresa Boulevard, Pb17",Gilroy,CA,,Santa Clara,6085,36.968361,-121.56333,636,Gilroy Unified
61518012264,Christopher High School,public,h,7,.32699999,1463,.28732401,.0169014,.60901397,.061971799,.022535199,.00169014,850 Day Road,Gilroy,CA,,Santa Clara,6085,37.036842,-121.60087,636,Gilroy Unified
61518012751,Gilroy Prep School,charter,"e,m",10,.59399998,177,.23871,.0096774204,.651613,.06451612,.022580599,.0129032,277 I O O F Avenue,Gilroy,CA,,Santa Clara,6085,37.015465,-121.56808,636,Gilroy Unified
61524000440,Verdugo Academy,public,"e,m,h",8,.149,98,.63513499,.067567602,.175676,.1081081,.0135135,,4717 Dunsmore Avenue,La Crescenta,CA,,Los Angeles,6037,34.237469,-118.26213,277,Glendale Unified School District
61524001919,Balboa Elementary School,public,"e,m",8,.54100001,588,.75660598,.0236439,.141864,.066759422,.0111266,,1844 Bel Aire Drive,Glendale,CA,,Los Angeles,6037,34.180321,-118.2855,277,Glendale Unified School District
61524001920,Cerritos Elementary School,public,"e,m",8,.86500001,389,.16,.022500001,.6925,.115,.0049999999,.0049999999,120 East Cerritos Avenue,Glendale,CA,,Los Angeles,6037,34.125534,-118.25446,277,Glendale Unified School District
61524001922,Columbus Elementary School,public,e,8,.80000001,560,.556876,.0084889596,.268251,.14091679,.0220713,.00339559,425 West Milford Street,Glendale,CA,,Los Angeles,6037,34.152649,-118.26218,277,Glendale Unified School District
61524001923,Crescenta Valley High School,public,h,10,.162,2906,.53661197,.0086145001,.13065299,.31478783,.00753769,.00179469,2900 Community Avenue,La Crescenta,CA,,Los Angeles,6037,34.223694,-118.24218,277,Glendale Unified School District
61524001924,Daily (Allan F.) High (Continuation) School,public,h,4,.736,,.38636401,.018181801,.47727299,.1136364,.0045454502,,220 North Kenwood,Glendale,CA,,Los Angeles,6037,34.148502,-118.25133,277,Glendale Unified School District
61524001925,Dunsmore Elementary School,public,"e,m",9,.16500001,403,.61066699,.00533333,.122667,.20533296,.050666701,.00533333,4717 Dunsmore Avenue,La Crescenta,CA,,Los Angeles,6037,34.239368,-118.25738,277,Glendale Unified School District
61524001926,Thomas Edison Elementary School,public,"e,m",7,.68000001,820,.29191101,.0199297,.55099601,.1137163,.021102,.00234467,435 South Pacific Avenue,Glendale,CA,,Los Angeles,6037,34.140564,-118.26445,277,Glendale Unified School District
61524001928,Benjamin Franklin Elementary School,public,e,5,.301,,.49831101,.0219595,.35810801,.057432391,.064189203,,1610 Lake Street,Glendale,CA,,Los Angeles,6037,34.162292,-118.29657,277,Glendale Unified School District
61524001929,John C. Fremont Elementary School,public,"e,m",9,.199,713,.58369702,.0029112101,.19068401,.1819507,.037845701,.0029112101,3320 Las Palmas Avenue,Glendale,CA,,Los Angeles,6037,34.199577,-118.23248,277,Glendale Unified School District
61524001930,College View School,public,"e,m,h",,.241,117,.55063301,.025316499,.20886099,.2025317,.0126582,,440 West Lomita Avenue,Glendale,CA,,Los Angeles,6037,34.164967,-118.22978,277,Glendale Unified School District
61524001931,Glendale High School,public,h,7,.67299998,2700,.46448499,.016363,.357382,.15470447,.0059501701,.00074377097,1440 East Broadway,Glendale,CA,,Los Angeles,6037,34.144398,-118.23454,277,Glendale Unified School District
61524001932,Glenoaks Elementary School,public,"e,m",8,.361,572,.61607099,.017857101,.164286,.16964275,.0303571,.00178571,2015 East Glenoaks Boulevard,Glendale,CA,,Los Angeles,6037,34.151482,-118.22237,277,Glendale Unified School District
61524001933,Herbert Hoover High School,public,h,7,.61500001,2097,.58816803,.017633701,.249147,.13651881,.0062571098,.00227531,651 Glenwood Road,Glendale,CA,,Los Angeles,6037,34.166115,-118.27022,277,Glendale Unified School District
61524001934,Thomas Jefferson Elementary School,public,"e,m",8,.75300002,593,.82764202,.0081300801,.104065,.0552845,.0032520299,.0016260199,1540 Fifth Street,Glendale,CA,,Los Angeles,6037,34.170315,-118.28581,277,Glendale Unified School District
61524001935,Mark Keppel Elementary School,public,e,9,.42500001,923,.54845202,.012987,.100899,.2977021,.037962001,.0019980001,730 Glenwood Road,Glendale,CA,,Los Angeles,6037,34.16573,-118.27259,277,Glendale Unified School District
61524001936,La Crescenta Elementary School,public,"e,m",8,.27700001,487,.46484399,.015625,.146484,.35546839,.017578101,,4343 La Crescenta Avenue,La Crescenta,CA,,Los Angeles,6037,34.220531,-118.23997,277,Glendale Unified School District
61524001937,Abraham Lincoln Elementary School,public,"e,m",9,.235,473,.52631599,.0043859598,.188596,.2214908,.059210502,,4310 New York Avenue,La Crescenta,CA,,Los Angeles,6037,34.228069,-118.25301,277,Glendale Unified School District
61524001938,Horace Mann Elementary School,public,e,8,.926,623,.42121199,.0045454502,.49090901,.080303103,.0030302999,,501 East Acacia Avenue,Glendale,CA,,Los Angeles,6037,34.13493,-118.24988,277,Glendale Unified School District
61524001939,John Marshall Elementary School,public,e,7,.84500003,541,.61623597,.022140199,.228782,.1254613,.0073800702,,1201 East Broadway,Glendale,CA,,Los Angeles,6037,34.146233,-118.23954,277,Glendale Unified School District
61524001940,Monte Vista Elementary School,public,"e,m",10,.127,606,.39425999,.0030211499,.081570998,.47280931,.045317199,.0030211499,2620 Orange Avenue,La Crescenta,CA,,Los Angeles,6037,34.230835,-118.23622,277,Glendale Unified School District
61524001941,Mountain Avenue Elementary School,public,"e,m",10,.13699999,512,.55009103,.0091074696,.102004,.28961739,.0455373,.00364299,2307 Mountain Avenue,La Crescenta,CA,,Los Angeles,6037,34.224098,-118.22813,277,Glendale Unified School District
61524001942,John Muir Elementary School,public,e,7,.79000002,802,.51918501,.0167866,.31654701,.1223022,.0227818,.00239808,912 South Chevy Chase Drive,Glendale,CA,,Los Angeles,6037,34.135864,-118.23956,277,Glendale Unified School District
61524001943,Theodore Roosevelt Middle School,public,m,7,.87800002,841,.350602,.0096385498,.51566303,.1204815,.00120482,.00240964,222 East Acacia Avenue,Glendale,CA,,Los Angeles,6037,34.134739,-118.25352,277,Glendale Unified School District
61524001944,Rosemont Middle School,public,m,10,.19400001,1328,.54921401,.00578991,.116625,.3192718,.0074441698,.00165426,4725 Rosemont Avenue,La Crescenta,CA,,Los Angeles,6037,34.226223,-118.23514,277,Glendale Unified School District
61524001946,Eleanor J. Toll Middle School,public,m,8,.63099998,1268,.615587,.0166375,.211033,.15148862,.0052539399,,700 Glenwood Road,Glendale,CA,,Los Angeles,6037,34.16523,-118.27002,277,Glendale Unified School District
61524001948,Verdugo Woodlands Elementary School,public,"e,m",9,.222,710,.54969299,.020858901,.142331,.18282188,.104294,,1751 North Verdugo Road,Glendale,CA,,Los Angeles,6037,34.173054,-118.22648,277,Glendale Unified School District
61524001949,R. D. White Elementary School,public,e,7,.60000002,845,.696468,.0154525,.173289,.10485651,.0077262698,.00110375,744 East Doran Street,Glendale,CA,,Los Angeles,6037,34.154591,-118.2461,277,Glendale Unified School District
61524001950,Woodrow Wilson Middle School,public,m,8,.58600003,1250,.61075997,.018196199,.20253199,.147943,.016613901,.0039557,1221 Monterey Road,Glendale,CA,,Los Angeles,6037,34.155186,-118.23834,277,Glendale Unified School District
61524007518,Anderson W. Clark Magnet High School,public,h,10,.56300002,1130,.81777799,.00355556,.065777801,.10755558,.00533333,,4747 New York Avenue,La Crescenta,CA,,Los Angeles,6037,34.236927,-118.25302,277,Glendale Unified School District
61524007519,Valley View Elementary School,public,"e,m",9,.153,418,.47087401,.0072815502,.116505,.3665053,.033980601,.0048543699,4900 Maryland Avenue,La Crescenta,CA,,Los Angeles,6037,34.238338,-118.25076,277,Glendale Unified School District
61524008019,Jewel City Community Day School,public,"m,h",,.625,9,.375,,.625,,,,440 West Lomita,Glendale,CA,,Los Angeles,6037,34.139912,-118.26151,277,Glendale Unified School District
61524012596,Cloud Preschool,public,e,,,,,,,,,,4444 Cloud Ave,La Crescenta,CA,,Los Angeles,6037,34.226761,-118.24641,277,Glendale Unified School District
61527001952,Cullen Elementary School,public,e,9,.221,668,.54311597,.0121029,.32526499,.066565856,.042360101,.0030257199,440 North Live Oak Avenue,Glendora,CA,,Los Angeles,6037,34.142345,-117.85489,276,Glendora Unified
61527001953,Glendora High School,public,h,8,.23199999,2476,.49461001,.0178275,.35738,.084162548,.043532301,.0020729699,1600 East Foothill Boulevard,Glendora,CA,,Los Angeles,6037,34.134296,-117.83548,276,Glendora Unified
61527001954,Goddard Middle School,public,m,9,.162,934,.54814798,.0074074101,.311111,.083597913,.048677199,.0010582,859 East Sierra Madre Avenue,Glendora,CA,,Los Angeles,6037,34.146999,-117.8506,276,Glendora Unified
61527001955,La Fetra Elementary School,public,e,8,.29899999,732,.383544,.0139241,.45949399,.1101265,.0316456,.00126582,547 West Bennett Avenue,Glendora,CA,,Los Angeles,6037,34.139713,-117.87388,276,Glendora Unified
61527001956,Sandburg Middle School,public,m,9,.44999999,853,.31670299,.021692,.54338402,.095444702,.0184382,.0032538001,819 West Bennett Avenue,Glendora,CA,,Los Angeles,6037,34.139706,-117.87885,276,Glendora Unified
61527001957,Sellers Elementary School,public,e,9,.193,626,.51932001,.00618238,.338485,.086553402,.043276701,.00618238,500 North Loraine Avenue,Glendora,CA,,Los Angeles,6037,34.143353,-117.84622,276,Glendora Unified
61527001958,Stanton Elementary School,public,e,8,.68300003,523,.23118301,.0071684602,.67383498,.06093191,.0232975,.00179211,725 South Vecino Avenue,Glendora,CA,,Los Angeles,6037,34.126904,-117.87702,276,Glendora Unified
61527001959,Sutherland Elementary School,public,e,9,.23100001,581,.496528,.0138889,.32291701,.10590271,.059027798,.00173611,1330 North Amelia Avenue,Glendora,CA,,Los Angeles,6037,34.123505,-117.82016,276,Glendora Unified
61527001960,Whitcomb Continuation High School,public,h,3,.55599999,88,.33333299,.0277778,.601852,.018518521,.0185185,,350 West Mauna Loa Avenue,Glendora,CA,,Los Angeles,6037,34.12505,-117.86842,276,Glendora Unified
61539001962,Gold Oak Elementary School,public,e,6,.44999999,325,.85016298,.0097719897,.100977,.00325733,.0162866,.019544,3171 Pleasant Valley Road,Placerville,CA,,El Dorado,6017,38.692356,-120.71837,74,Gold Oak Union Elementary
61539010199,Pleasant Valley Middle School,public,m,6,.37799999,111,.89743602,.0064102602,.089743599,,,.0064102602,4120 Pleasant Valley Road,Placerville,CA,,El Dorado,6017,38.693768,-120.67789,74,Gold Oak Union Elementary
61539010768,Gold Oak Arts Charter,charter,m,,,55,,,,,,,3171 Pleasant Valley Rd.,Placerville,CA,,El Dorado,6017,38.694008,-120.71718,74,Gold Oak Union Elementary
61545001963,Gold Trail,public,"e,m",8,.27900001,287,.860681,.0092879301,.086687297,.024767799,.0154799,.00309598,889 Cold Springs Road,Placerville,CA,,El Dorado,6017,38.772362,-120.88996,75,Gold Trail Union Elementary
61545010200,Sutters Mill,public,e,7,.259,256,.81654698,.0215827,.097122297,.01079136,.046762601,.0071942401,4801 Luneman Road,Placerville,CA,,El Dorado,6017,38.768906,-120.92876,75,Gold Trail Union Elementary
61548001964,Concow Elementary School,public,"e,m",2,.76899999,115,.70192301,.028846201,.125,,.125,.0192308,11679 Nelson Bar Road,Oroville,CA,,Butte,6007,39.730507,-121.52824,29,Golden Feather Union Elementary
61548008684,Golden Feather Community Day School,public,"e,m",,.667,4,.33333299,,.33333299,,,.33333299,11679 Nelson Bar Road,Oroville,CA,,Butte,6007,39.730507,-121.52824,29,Golden Feather Union Elementary
61548013032,Pivot Charter School North Valley,charter,"e,m,h",,,15,,,,,,,,Chico,CA,,Butte,6007,39.747189,-121.79222,29,Golden Feather Union Elementary
61551001969,Ellwood Elementary School,public,"e,m",8,.514,456,.27272701,.0090909097,.60000002,.074999951,.036363602,.00681818,7686 Hollister Avenue,Goleta,CA,,Santa Barbara,6083,34.429756,-119.89554,564,Goleta Union Elementary
61551001970,Foothill Elementary School,public,"e,m",9,.189,442,.61024499,.013363,.27839601,.048997741,.040089101,.00890869,711 Ribera Drive,Santa Barbara,CA,,Santa Barbara,6083,34.450562,-119.80109,564,Goleta Union Elementary
61551001971,Hollister Elementary School,public,"e,m",8,.39899999,437,.375,.0064655198,.52370697,.047413789,.0452586,.0021551701,4950 Anita Lane,Santa Barbara,CA,,Santa Barbara,6083,34.432693,-119.79458,564,Goleta Union Elementary
61551001972,Isla Vista Elementary School,public,"e,m",7,.64499998,458,.23614,.022587299,.60780299,.1047228,.0246407,.00410678,6875 El Colegio Road,Goleta,CA,,Santa Barbara,6083,34.415867,-119.86893,564,Goleta Union Elementary
61551001973,Kellogg Elementary School,public,"e,m",9,.28600001,368,.505494,,.34065899,.087912053,.0549451,.00274725,475 Cambridge Avenue,Goleta,CA,,Santa Barbara,6083,34.447197,-119.82215,564,Goleta Union Elementary
61551001974,La Patera Elementary School,public,"e,m",5,.63800001,432,.203271,.0070093502,.74065399,.025700949,.021028001,,555 North La Patera Lane,Goleta,CA,,Santa Barbara,6083,34.44725,-119.84784,564,Goleta Union Elementary
61551001975,Mountain View Elementary School,public,"e,m",10,.056000002,337,.66568899,,.175953,.070381202,.0879765,,5465 Queen Anne Lane,Santa Barbara,CA,,Santa Barbara,6083,34.454952,-119.81631,564,Goleta Union Elementary
61551006622,Brandon Elementary School,public,"e,m",7,.41499999,446,.30568701,.0118483,.54739302,.092417069,.042654,,195 Brandon Drive,Goleta,CA,,Santa Barbara,6083,34.439823,-119.89284,564,Goleta Union Elementary
61551008345,El Camino Elementary School,public,"e,m",6,.773,305,.0890688,.0040485798,.85425103,.048582979,.0040485798,,5020 San Simeon Drive,Santa Barbara,CA,,Santa Barbara,6083,34.440285,-119.79653,564,Goleta Union Elementary
61560001979,Gorman Elementary School,public,"e,m",4,.59600002,98,.39423099,.0192308,.5,.0192308,.057692301,.0096153803,49847 Gorman School Road,Gorman,CA,,Los Angeles,6037,34.792965,-118.8533,278,Gorman Elementary
61560008502,Gorman Learning Center,charter,"e,m,h",4,.36500001,1539,.54530197,.060961999,.29194599,.079977639,,.0067114099,1826 Orange Tree Lane,Redlands,CA,,Los Angeles,6037,34.792965,-118.8533,278,Gorman Elementary
61569001980,Grant Elementary School,public,"e,m",9,.161,598,.79462898,.00315956,.085308097,.036334921,.048973098,.031595599,8835 Swasey Drive,Redding,CA,,Shasta,6089,40.550301,-122.4739,730,Grant Elementary
61578001997,Lyman Gilmore Middle School,public,m,5,.597,550,.72102201,.0157171,.145383,.033398841,.0157171,.035363499,10837 Rough and Ready Highway,Grass Valley,CA,,Nevada,6057,39.224735,-121.07786,455,Grass Valley Elementary School District
61578001998,Hennessy Elementary,public,e,,,394,,,,,,,225 South Auburn St.,Grass Valley,CA,,Nevada,6057,39.215256,-121.0612,455,Grass Valley Elementary School District
61578002267,Grass Valley Charter School,charter,"e,m",6,.252,382,.79471499,.0060975598,.081300803,.020325219,.0223577,.0223577,225 South Auburn Street,Grass Valley,CA,,Nevada,6057,39.215569,-121.06719,455,Grass Valley Elementary School District
61578008851,Margaret G. Scotten Elementary School,public,e,4,.69499999,444,.770428,.0038910499,.13034999,.0097276298,.0272374,.0252918,10821 Squirrel Creek Road,Grass Valley,CA,,Nevada,6057,39.223316,-121.07532,455,Grass Valley Elementary School District
61581001999,Gratton Elementary School,public,"e,m",,.208,51,.625,,.27083299,.104167,,,4500 South Gratton Road,Denair,CA,,Stanislaus,6099,37.572895,-120.79207,881,Gratton Elementary
61581012452,Gratton Charter School,charter,"e,m",9,.068999998,73,.87356299,,.103448,.0114943,.0114943,,4500 South Gratton Road,Denair,CA,,Stanislaus,6099,37.572895,-120.79207,881,Gratton Elementary
61584002000,Gravenstein Elementary School,charter,e,9,.119,426,.71393001,.00248756,.151741,.03731342,.092039801,.00248756,3840 Twig Avenue,Sebastopol,CA,,Sonoma,6097,38.364033,-122.7848,814,Gravenstein Union Elementary
61584002001,Hillcrest Middle School,charter,m,9,.15700001,259,.78291798,.00711744,.13879,.042704619,.024910999,.00355872,725 Bloomfield Road,Sebastopol,CA,,Sonoma,6097,38.36924,-122.80701,814,Gravenstein Union Elementary
61584010684,Gravenstein Community Day School,public,"e,m",,,1,,,,,,,3840 Twig Avenue,Sebastopol,CA,,Sonoma,6097,38.364033,-122.7848,814,Gravenstein Union Elementary
61587002002,Graves Elementary School,public,"e,m",,.65899998,28,.097561002,,.804878,.048780501,.048780501,,15 Mcfadden Road,Salinas,CA,,Monterey,6053,36.696278,-121.70069,381,Graves Elementary
61599002003,Green Point Elementary School,public,"e,m",,.625,9,1,,,,,,180 Valkensar Lane,Blue Lake,CA,,Humboldt,6023,41.001476,-123.85733,146,Green Point Elementary
61605002004,Fairview Elementary School,public,e,3,.94700003,544,.0735294,.0220588,.89705902,.0073529501,,,425 East Fairview Road,Bakersfield,CA,,Kern,6029,35.303108,-118.99584,215,Greenfield Union
61605002005,Greenfield Middle School,public,m,4,.921,765,.0638064,.094609499,.78877902,.035203509,.0099009899,.0077007702,1109 Pacheco Road,Bakersfield,CA,,Kern,6029,35.310345,-119.01477,215,Greenfield Union
61605002007,Plantation Elementary School,public,e,5,.95700002,699,.042613599,.099431798,.83806801,.0071022701,.0113636,.00142045,901 Plantation Avenue,Bakersfield,CA,,Kern,6029,35.319508,-119.01283,215,Greenfield Union
61605002008,Planz Elementary School,public,e,2,.89999998,722,.096206002,.130081,.72899699,.03387535,.0054200501,.0054200501,2400 Planz Road,Bakersfield,CA,,Kern,6029,35.324955,-119.02905,215,Greenfield Union
61605002035,Raffaello Palla Elementary School,public,e,3,.90700001,932,.066239297,.101496,.815171,.01068376,.0032051301,.0032051301,800 Fairview Road,Bakersfield,CA,,Kern,6029,35.303162,-119.01101,215,Greenfield Union
61605003105,Leon H. Ollivier Middle School,public,m,5,.89399999,765,.060851902,.080121703,.81541598,.02839759,.0121704,.0030425999,7310 Monitor Street,Bakersfield,CA,,Kern,6029,35.288525,-119.01183,215,Greenfield Union
61605009551,W. A. Kendrick Elementary School,public,e,8,.87199998,685,.104478,.077340603,.76255101,.02170961,.025780199,.0081411097,2200 Faith Avenue,Bakersfield,CA,,Kern,6029,35.306759,-119.02664,215,Greenfield Union
61605011210,Mckee Middle School,public,m,5,.84200001,873,.101732,.0660173,.79220802,.032467552,.0075757601,,205 Mckee Road,Bakersfield,CA,,Kern,6029,35.274029,-119.00543,215,Greenfield Union
61605011218,Valle Verde Elementary School,public,e,3,.88099998,773,.0529158,.037797,.85421199,.039956711,.0107991,.0043196501,400 Berkshire Road,Bakersfield,CA,,Kern,6029,35.288639,-119.00698,215,Greenfield Union
61605011600,Horizon Elementary School,public,e,4,.912,761,.068965502,.049808402,.81864601,.058748361,.0038314201,,7901 Monitor Street,Bakersfield,CA,,Kern,6029,35.2845,-119.0118,215,Greenfield Union
61605012269,Granite Pointe Elementary School,public,e,4,.83200002,946,.128392,.050104398,.77452999,.035490651,.0093945703,.0020876799,2900 Berkshire Road,Bakersfield,CA,,Kern,6029,35.288643,-119.03474,215,Greenfield Union
61605012448,Greenfield Community School,public,"e,m",2,1,47,.105263,.26315799,.57894701,.052631602,,,205 Mckee Road,Bakersfield,CA,,Kern,6029,35.274029,-119.00543,215,Greenfield Union
61608002009,Mary Chapa Literacy And Technology Academy,public,e,6,.82099998,390,.0041666701,.0041666701,.99166697,,,,490 El Camino Real,Greenfield,CA,,Monterey,6053,36.326569,-121.24818,382,Greenfield Union Elementary
61608002256,Cesar Chavez Elementary School,public,e,3,.85699999,738,.015727401,.0052424599,.95674998,.01703801,.0039318502,,250 Apple Avenue,Greenfield,CA,,Monterey,6053,36.329437,-121.23595,382,Greenfield Union Elementary
61608002266,Vista Verde Middle School,public,m,4,.85699999,712,.0158343,.0048721102,.973203,.0048721,.00121803,,1199 Elm Avenue,Greenfield,CA,,Monterey,6053,36.315231,-121.24552,382,Greenfield Union Elementary
61608008852,Oak Avenue Elementary School,public,e,2,.86500001,736,.0089974301,.0025706899,.98457599,.0038560401,,,1239 Oak Avenue,Greenfield,CA,,Monterey,6053,36.315517,-121.25294,382,Greenfield Union Elementary
61608012809,El Camino Real Science And Technology Academy,public,"e,m",1,.949,320,.0066225198,.0044150101,.98896199,,,,490 El Camino Real,Greenfield,CA,,Monterey,6053,36.326435,-121.24804,382,Greenfield Union Elementary
61611002011,Grenada Elementary School,public,"e,m",5,.583,162,.86631,.0106952,.064171098,,.032085601,.026737999,516 Shasta Boulevard,Grenada,CA,,Siskiyou,6093,41.645657,-122.52981,859,Grenada Elementary
61611007447,Grenada Community Day School,public,"e,m",,,,,,,,,,516 Shasta Boulevard,Grenada,CA,,Siskiyou,6093,41.645657,-122.52981,859,Grenada Elementary
