state,year,meaning,salary_amt,tot_spending
Washington,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5912,9637
Washington,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,5977,9672
Washington,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6168,10202
Washington,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6435,10735
Washington,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6857,11534
Washington,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,7256,11989
Washington,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,7787,12995
West Virginia,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6209,11445
West Virginia,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6156,11132
West Virginia,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6128,11251
West Virginia,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6274,11359
West Virginia,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6291,11291
West Virginia,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6292,11554
West Virginia,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6194,11334
Wisconsin,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6090,11042
Wisconsin,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6149,11071
Wisconsin,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6204,11186
Wisconsin,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6353,11375
Wisconsin,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6476,11456
Wisconsin,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6599,11968
Wisconsin,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,6738,12285
Wyoming,2012,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9474,15897
Wyoming,2013,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9366,15700
Wyoming,2014,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9396,15797
Wyoming,2015,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9495,16055
Wyoming,2016,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9622,16442
Wyoming,2017,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9635,16537
Wyoming,2018,Elementary-secondary education school system current expenditures Salaries and wages per pupil,9417,16224
